id,human_readable_id,source,target,description,weight,combined_degree,text_unit_ids
375a1864-de57-4e93-9fc0-185a58a6328e,0,ECO2,PART C,ECO2 is the practical training content presented within Part C of the document,8.0,11,['cccb957abe0dfc0ba984248905a15e5bf00b1e12e730857e8c6a100f7c3c41f690789c9eafa89e1670094975950e394297f10ae6d3c5569d0b16ffa03bcb2891']
e97ae017-f7cf-4af0-9ce3-904cb989732b,1,A-004,설계개요,A-004 is the sheet number assigned to the design overview document,9.0,27,['cccb957abe0dfc0ba984248905a15e5bf00b1e12e730857e8c6a100f7c3c41f690789c9eafa89e1670094975950e394297f10ae6d3c5569d0b16ffa03bcb2891']
225c0f5f-1c8d-4f7d-bc37-a3ff0f89342a,2,ㅇㅇ블럭 공동주택 신축공사,설계개요,The design overview sheet describes the apartment construction project named ㅇㅇ블럭 공동주택 신축공사,9.0,26,['cccb957abe0dfc0ba984248905a15e5bf00b1e12e730857e8c6a100f7c3c41f690789c9eafa89e1670094975950e394297f10ae6d3c5569d0b16ffa03bcb2891']
6d69b549-bbdb-4a64-aec1-e5c970008dff,3,ECO2,모의실습,The ECO2 section includes mock-practice content,8.0,5,['cccb957abe0dfc0ba984248905a15e5bf00b1e12e730857e8c6a100f7c3c41f690789c9eafa89e1670094975950e394297f10ae6d3c5569d0b16ffa03bcb2891']
ff78d144-2f8c-4a6f-a870-fbbbe2b66b38,4,ECO2,도면집,The ECO2 section includes a drawing collection,8.0,5,['cccb957abe0dfc0ba984248905a15e5bf00b1e12e730857e8c6a100f7c3c41f690789c9eafa89e1670094975950e394297f10ae6d3c5569d0b16ffa03bcb2891']
5535b2b3-1d1f-4763-9534-af3f1c72bbdd,5,PART C,C.1,C.1 is one subsection within Part C,9.0,9,['cccb957abe0dfc0ba984248905a15e5bf00b1e12e730857e8c6a100f7c3c41f690789c9eafa89e1670094975950e394297f10ae6d3c5569d0b16ffa03bcb2891']
cbcc93a8-171c-4460-ade6-d0cc540df729,6,PART C,C.2,C.2 is one subsection within Part C,9.0,9,['cccb957abe0dfc0ba984248905a15e5bf00b1e12e730857e8c6a100f7c3c41f690789c9eafa89e1670094975950e394297f10ae6d3c5569d0b16ffa03bcb2891']
0b98b267-8fc6-4b7a-ad0b-3c2e9ca596f4,7,PART C,C.3,C.3 is one subsection within Part C,9.0,9,['cccb957abe0dfc0ba984248905a15e5bf00b1e12e730857e8c6a100f7c3c41f690789c9eafa89e1670094975950e394297f10ae6d3c5569d0b16ffa03bcb2891']
650b18da-b6c7-4f96-ae63-940872231d14,8,PART C,C.4,C.4 is one subsection within Part C,9.0,9,['cccb957abe0dfc0ba984248905a15e5bf00b1e12e730857e8c6a100f7c3c41f690789c9eafa89e1670094975950e394297f10ae6d3c5569d0b16ffa03bcb2891']
ea96045f-1037-4589-9937-77a17309a2c9,9,C.1,주거건물_건축 부분 실습,C.1 is the residential building architecture practice module,9.0,3,['cccb957abe0dfc0ba984248905a15e5bf00b1e12e730857e8c6a100f7c3c41f690789c9eafa89e1670094975950e394297f10ae6d3c5569d0b16ffa03bcb2891']
d77108ee-7603-4a2e-b3af-50418ce21dd9,10,C.2,주거건물_설비 부분 실습,C.2 is the residential building equipment practice module,9.0,5,['cccb957abe0dfc0ba984248905a15e5bf00b1e12e730857e8c6a100f7c3c41f690789c9eafa89e1670094975950e394297f10ae6d3c5569d0b16ffa03bcb2891']
7221ddd8-812d-4313-bd8a-88d5d3242b03,11,C.3,비주거건물_건축 및 설비 부분 실습,C.3 is the non-residential building architecture and equipment practice module,9.0,3,['cccb957abe0dfc0ba984248905a15e5bf00b1e12e730857e8c6a100f7c3c41f690789c9eafa89e1670094975950e394297f10ae6d3c5569d0b16ffa03bcb2891']
7512cc5f-1b6d-482b-ab39-bc558ce63471,12,C.4,비주거건물_설비 변경실습,C.4 is the non-residential building equipment modification practice module,9.0,4,['cccb957abe0dfc0ba984248905a15e5bf00b1e12e730857e8c6a100f7c3c41f690789c9eafa89e1670094975950e394297f10ae6d3c5569d0b16ffa03bcb2891']
49fd9192-5384-46ed-b1e8-71f33968d73d,13,A-004,설계명,A-004 sheet contains the project design name field in the title block,6.0,29,['cccb957abe0dfc0ba984248905a15e5bf00b1e12e730857e8c6a100f7c3c41f690789c9eafa89e1670094975950e394297f10ae6d3c5569d0b16ffa03bcb2891']
86a4e57f-1a39-40df-8ae9-24d011216d9c,14,A-004,대지 위치,A-004 sheet contains the site location field in the design overview,6.0,16,['cccb957abe0dfc0ba984248905a15e5bf00b1e12e730857e8c6a100f7c3c41f690789c9eafa89e1670094975950e394297f10ae6d3c5569d0b16ffa03bcb2891']
884d2850-0c76-4875-b8f6-9a864c52bf31,15,A-004,지역 지구,A-004 sheet contains the zoning district field in the design overview,6.0,15,['cccb957abe0dfc0ba984248905a15e5bf00b1e12e730857e8c6a100f7c3c41f690789c9eafa89e1670094975950e394297f10ae6d3c5569d0b16ffa03bcb2891']
13f7fe0c-d119-497a-b82b-8c90109fe92a,16,A-004,사업 면적,A-004 sheet contains the project area field in the design overview,6.0,15,['cccb957abe0dfc0ba984248905a15e5bf00b1e12e730857e8c6a100f7c3c41f690789c9eafa89e1670094975950e394297f10ae6d3c5569d0b16ffa03bcb2891']
9ca5b8c1-8d9c-44c1-a120-81b17595aba1,17,A-004,건설 규모,A-004 sheet contains the construction scale field in the design overview,6.0,15,['cccb957abe0dfc0ba984248905a15e5bf00b1e12e730857e8c6a100f7c3c41f690789c9eafa89e1670094975950e394297f10ae6d3c5569d0b16ffa03bcb2891']
79cdec70-07c8-4e8d-9c5e-b3400c8f3b93,18,A-004,구조,A-004 sheet contains the structure field in the design overview,6.0,15,['cccb957abe0dfc0ba984248905a15e5bf00b1e12e730857e8c6a100f7c3c41f690789c9eafa89e1670094975950e394297f10ae6d3c5569d0b16ffa03bcb2891']
077c87ab-0cfb-4500-9bcc-5137e92cbb09,19,A-004,건축 면적,A-004 sheet contains the building area field in the design overview,6.0,16,['cccb957abe0dfc0ba984248905a15e5bf00b1e12e730857e8c6a100f7c3c41f690789c9eafa89e1670094975950e394297f10ae6d3c5569d0b16ffa03bcb2891']
9148f355-6a1e-41ed-93a0-d6266534f4ec,20,A-004,연적,A-004 sheet contains the floor area field in the design overview,6.0,15,['cccb957abe0dfc0ba984248905a15e5bf00b1e12e730857e8c6a100f7c3c41f690789c9eafa89e1670094975950e394297f10ae6d3c5569d0b16ffa03bcb2891']
